Protocol	WRITE	CREATE	REMOVE	ACCESS	GETATTR	LOOKUP	OPEN	CLOSE	OTHERS	
V3	.655862	.347977	.348027	.615528	.827542	.350518	0	0	.008407	
V4.1p	.546072	.002635	.295724	.396851	1.630804	.023093	.799158	.799203	.003504	
