ratio ICE ICE-std 	ratio ICE ICE-std 	ratio ICE ICE-std 	ratio ICE ICE-std 
1:16	96.68	0.78	1:16	97.83	0.09	1:16	98.89	0.97	1:16	98.02	0.93
1:8	95.72	0.58	1:8	98.81	0.95	1:8	100.62	0.50	1:8	97.79	0.28
1:4	95.84	0.25	1:4	99.17	0.68	1:4	99.72	1.72	1:4	99.10	1.04
1:2	96.84	0.70	1:2	99.09	0.41	1:2	100.65	0.78	1:2	100.49	1.00
1:1	100.27	0.51	1:1	99.86	0.26	1:1	100.83	0.81	1:1	100.10	0.15
2:1	101.12	0.67	2:1	100.63	0.17	2:1	99.31	0.69	2:1	99.14	2.37
4:1	98.80	0.73	4:1	99.92	0.14	4:1	100.04	0.97	4:1	99.53	0.35
8:1	100.68	0.17	8:1	100.48	0.44	8:1	101.29	1.58	8:1	98.83	0.89
16:1	100.47	0.33	16:1	100.08	0.54	16:1	100.13	0.66	16:1	99.60	0.67
