Protocol	WRITE	CREATE	REMOVE	ACCESS	GETATTR	LOOKUP	OPEN	CLOSE	OTHERS	
V3	1.323950	.681959	.681952	1.050461	1.621741	.685244	0	0	.008435	
V4.1p	1.171554	.002635	.608469	.660367	3.339728	.150032	1.737443	1.737424	.003504	
