Client ws-noseqid-nfsv3-SSD-1cp-*ms-16kfs-5cl-100th:clients:filebench|ops/sec:1,2,3 ws-noseqid-nfsv3-SSD-1cp-*ms-16kfs-5cl-100th:clients:filebench|ops/sec:1,2,3-std ws-noseqid-nfsv4-SSD-1cp-*ms-16kfs-5cl-100th:clients:filebench|ops/sec:1,2,3 ws-noseqid-nfsv4-SSD-1cp-*ms-16kfs-5cl-100th:clients:filebench|ops/sec:1,2,3-std 
0	119.9	.4	90.4	.2
1	35.3	.1	36.2	.1
2	21.1	.1	21.2	0
5	9.5	0	9.7	0
10	5.1	0	5.1	0
40	1.4	0	1.3	0
