36	35	36	35.67
36	36	31	34.33
31	31	32	31.33
32	32	32	32.00
31	34	32	32.33
33	32	33	32.67
32	31	31	31.33
32	31	32	31.67
32	34	32	32.67
32	31	32	31.67
32	32	31	31.67
31	34	32	32.33
31	32	32	31.67
32	30	32	31.33
31	33	32	32.00
34	32	33	33.00
29	30	31	30.00
34	32	32	32.67
32	31	32	31.67
32	32	33	32.33
33	32	33	32.67
32	31	32	31.67
34	36	32	34.00
32	32	32	32.00
32	32	34	32.67
32	33	32	32.33
33	31	34	32.67
31	32	32	31.67
32	32	32	32.00
32	34	32	32.67
35	33	32	33.33
32	32	35	33.00
32	32	31	31.67
33	34	33	33.33
35	33	32	33.33
30	31	33	31.33
33	33	30	32.00
32	33	34	33.00
32	33	34	33.00
34	33	34	33.67
32	32	29	31.00
32	31	34	32.33
30	32	32	31.33
32	34	32	32.67
34	34	33	33.67
32	33	34	33.00
32	31	31	31.33
35	33	35	34.33
32	33	30	31.67
30	34	26	30.00
28	31	29	29.33
30	34	31	31.67
33	32	34	33.00
31	31	33	31.67
33	34	32	33.00
33	31	33	32.33
32	33	34	33.00
35	31	32	32.67
31	32	32	31.67
33	33	33	33.00
33	27	33	31.00
32	30	31	31.00
32	32	34	32.67
34	31	34	33.00
33	34	33	33.33
33	34	33	33.33
32	33	32	32.33
32	30	32	31.33
35	35	32	34.00
32	30	34	32.00
33	32	34	33.00
35	34	33	34.00
33	33	35	33.67
32	33	31	32.00
32	32	33	32.33
34	33	31	32.67
35	33	33	33.67
31	33	33	32.33
34	31	31	32.00
32	35	34	33.67
33	32	32	32.33
33	32	33	32.67
31	33	32	32.00
34	32	34	33.33
32	31	30	31.00
34	34	31	33.00
32	32	32	32.00
32	34	33	33.00
32	32	32	32.00
33	33	33	33.00
34	33	32	33.00
28	33	33	31.33
32	31	27	30.00
26	33	28	29.00
31	32	34	32.33
32	34	33	33.00
32	33	32	32.33
32	32	32	32.00
29	33	33	31.67
35	31	33	33.00
33	26	33	30.67
29	31	33	31.00
33	30	33	32.00
33	33	31	32.33
31	32	33	32.00
33	32	33	32.67
33	34	32	33.00
32	33	32	32.33
33	31	32	32.00
30	33	33	32.00
33	33	34	33.33
32	32	32	32.00
31	34	32	32.33
35	32	34	33.67
32	35	32	33.00
32	33	33	32.67
33	32	31	32.00
31	33	35	33.00
32	32	31	31.67
30	33	33	32.00
36	33	33	34.00
32	34	33	33.00
31	31	31	31.00
34	31	32	32.33
31	33	33	32.33
34	33	32	33.00
30	31	34	31.67
34	32	32	32.67
31	33	32	32.00
33	32	33	32.67
34	32	34	33.33
32	32	33	32.33
31	33	31	31.67
33	32	32	32.33
32	33	28	31.00
33	33	29	31.67
27	32	33	30.67
31	32	35	32.67
31	33	32	32.00
34	34	32	33.33
31	32	32	31.67
35	29	33	32.33
33	26	34	31.00
32	31	31	31.33
31	32	33	32.00
33	34	30	32.33
33	32	35	33.33
31	32	31	31.33
34	34	33	33.67
31	31	34	32.00
33	34	32	33.00
34	32	33	33.00
30	31	32	31.00
31	33	32	32.00
32	34	33	33.00
34	32	33	33.00
32	32	34	32.67
32	32	32	32.00
33	31	32	32.00
32	33	33	32.67
32	30	32	31.33
31	33	33	32.33
34	34	30	32.67
32	32	34	32.67
32	34	32	32.67
33	33	33	33.00
33	31	34	32.67
33	31	33	32.33
33	34	32	33.00
30	32	34	32.00
33	33	34	33.33
34	32	33	33.00
33	34	33	33.33
33	33	31	32.33
32	32	32	32.00
31	33	33	32.33
25	32	31	29.33
31	33	29	31.00
33	31	28	30.67
33	34	33	33.33
33	33	33	33.00
31	32	33	32.00
31	32	33	32.00
35	33	32	33.33
33	25	35	31.00
32	31	31	31.33
32	33	32	32.33
34	34	33	33.67
32	32	32	32.00
32	31	34	32.33
33	33	32	32.67
32	31	33	32.00
32	34	32	32.67
34	32	33	33.00
32	33	30	31.67
32	31	33	32.00
33	33	33	33.00
33	31	32	32.00
31	33	33	32.33
33	34	32	33.00
32	32	33	32.33
32	32	31	31.67
32	33	32	32.33
32	32	33	32.33
32	34	32	32.67
32	32	33	32.33
32	33	32	32.33
32	30	33	31.67
32	32	32	32.00
32	33	31	32.00
31	32	32	31.67
33	33	32	32.67
32	32	33	32.33
32	31	33	32.00
32	33	32	32.33
32	32	33	32.33
35	33	31	33.00
30	31	34	31.67
27	32	32	30.33
28	32	27	29.00
35	34	28	32.33
30	32	33	31.67
35	32	33	33.33
31	33	32	32.00
30	32	32	31.33
36	32	33	33.67
32	30	31	31.00
30	35	33	32.67
34	25	31	30.00
30	30	34	31.33
33	33	31	32.33
29	32	30	30.33
35	32	34	33.67
32	33	32	32.33
31	34	34	33.00
33	31	32	32.00
31	32	32	31.67
33	34	32	33.00
29	32	32	31.00
36	33	34	34.33
33	33	33	33.00
32	35	34	33.67
35	32	34	33.67
33	33	30	32.00
33	31	35	33.00
31	33	32	32.00
33	33	33	33.00
32	22	12	22.00
